response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,estimate,SE,df,z.ratio,p.value
genetic gain,2 - 8,2X,Peri,2,3,GW,-0.960629182192323,0.0685167863192274,Inf,-14.0203479146941,1.17039477706804e-44
genetic gain,2 - 8,20X,WT,2,3,GW,-1.0018340496217,0.0685167863192276,Inf,-14.6217314535746,2.04141864203481e-48
genetic gain,2 - 8,2X,WT,2,3,GW,-0.964192227717123,0.0685167863192276,Inf,-14.0723504343131,5.61709738785045e-45
genetic gain,2 - 8,20X,Chr,200,3,GW,-2.04154920088979,0.0685167863192278,Inf,-29.7963362055244,4.35780071480262e-195
genetic gain,2 - 8,2X,Chr,200,3,GW,-1.90494883026998,0.0685167863192275,Inf,-27.8026587732035,4.02826534355432e-170
genetic gain,2 - 8,20X,Peri,200,3,GW,-2.00732380577687,0.0685167863192278,Inf,-29.2968178108137,1.13859903782953e-188
genetic gain,2 - 8,2X,Peri,200,3,GW,-1.90518038242877,0.0685167863192277,Inf,-27.8060382685247,3.66654553831233e-170
genetic gain,2 - 8,20X,WT,200,3,GW,-1.71891240226729,0.0685167863192276,Inf,-25.0874638845243,6.81525593791314e-139
genetic gain,2 - 8,2X,WT,200,3,GW,-1.82470226414142,0.0685167863192276,Inf,-26.6314630642471,2.93460338141528e-156
genetic gain,2 - 8,20X,Chr,2,4,GW,-1.5575565097152,0.0685167863192275,Inf,-22.7324805115401,2.13903232890597e-114
genetic gain,2 - 8,2X,Chr,2,4,GW,-1.37669543309909,0.0685167863192275,Inf,-20.0928196877903,8.52788336383063e-90
genetic gain,2 - 8,20X,Peri,2,4,GW,-1.51274674391616,0.0685167863192272,Inf,-22.0784836122948,5.08876313959554e-108
genetic gain,2 - 8,2X,Peri,2,4,GW,-1.4162362271103,0.0685167863192272,Inf,-20.6699161357613,6.46284485460053e-95
genetic gain,2 - 8,20X,WT,2,4,GW,-1.32236802512062,0.0685167863192275,Inf,-19.2999131477001,5.37995570051107e-83
genetic gain,2 - 8,2X,WT,2,4,GW,-1.3720159461358,0.0685167863192277,Inf,-20.0245227460525,3.3672289650136e-89
genetic gain,2 - 8,20X,Chr,200,4,GW,-2.15602363712324,0.0685167863192276,Inf,-31.4670864316093,2.45091168783243e-217
genetic gain,2 - 8,2X,Chr,200,4,GW,-1.94628180133575,0.0685167863192278,Inf,-28.4059119799897,1.70919005658409e-177
genetic gain,2 - 8,20X,Peri,200,4,GW,-2.13975090324371,0.0685167863192273,Inf,-31.2295864735158,4.22700726698047e-214
genetic gain,2 - 8,2X,Peri,200,4,GW,-1.9168531687971,0.0685167863192263,Inf,-27.9764021602866,3.14769595747253e-172
genetic gain,2 - 8,20X,WT,200,4,GW,-1.72702105310175,0.0685167863192279,Inf,-25.2058093480239,3.45930219923465e-140
genetic gain,2 - 8,2X,WT,200,4,GW,-1.85976152789469,0.068516786319228,Inf,-27.1431517413826,3.05009571406818e-162
