response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,estimate,SE,df,z.ratio,p.value
genetic gain,2 - 8,2X,WT,200,4,CV,-2.68113035201753,0.0921274332564457,Inf,-29.1024101860554,3.34644433194574e-186
genetic gain,2 - 8,20X,Chr,2,3,GW,-1.11613574029396,0.09212743325645,Inf,-12.1151290212008,8.78258200438685e-34
genetic gain,2 - 8,2X,Chr,2,3,GW,-0.864554372059714,0.0921274332564466,Inf,-9.38433147977904,6.33168228501054e-21
genetic gain,2 - 8,20X,Peri,2,3,GW,-0.932849248607951,0.0921274332564457,Inf,-10.1256402749361,4.25186740927994e-24
genetic gain,2 - 8,2X,Peri,2,3,GW,-0.738913496168935,0.092127433256446,Inf,-8.02055880697442,1.05265176025632e-15
genetic gain,2 - 8,20X,WT,2,3,GW,-0.899968173736124,0.0921274332564462,Inf,-9.76873165706212,1.53359887337916e-22
genetic gain,2 - 8,2X,WT,2,3,GW,-0.805110363969161,0.092127433256446,Inf,-8.73909470296492,2.34985827007233e-18
genetic gain,2 - 8,20X,Chr,200,3,GW,-3.28569096240087,0.0921274332564466,Inf,-35.6646315463364,1.39786867509503e-278
genetic gain,2 - 8,2X,Chr,200,3,GW,-2.88748662676413,0.092127433256446,Inf,-31.342310587624,1.23837841702958e-215
genetic gain,2 - 8,20X,Peri,200,3,GW,-3.15651659544479,0.0921274332564458,Inf,-34.2625044883029,2.840752573874e-257
genetic gain,2 - 8,2X,Peri,200,3,GW,-2.78463277640967,0.0921274332564461,Inf,-30.2258803700561,1.08276186928532e-200
genetic gain,2 - 8,20X,WT,200,3,GW,-2.57094417585318,0.0921274332564462,Inf,-27.9063910170676,2.23176786038053e-171
genetic gain,2 - 8,2X,WT,200,3,GW,-2.67505584912214,0.092127433256446,Inf,-29.036474311358,2.28027324686792e-185
genetic gain,2 - 8,20X,Chr,2,4,GW,-1.53090279625609,0.0921274332564461,Inf,-16.617230526706,5.22931266569007e-62
genetic gain,2 - 8,2X,Chr,2,4,GW,-1.14587140436377,0.092127433256446,Inf,-12.4378956827564,1.6273479770442e-35
genetic gain,2 - 8,20X,Peri,2,4,GW,-1.33882112062408,0.0921274332564457,Inf,-14.5322741913078,7.5666027601359e-48
genetic gain,2 - 8,2X,Peri,2,4,GW,-1.30768640718313,0.0921274332564454,Inf,-14.1943215062018,9.93432816422366e-46
genetic gain,2 - 8,20X,WT,2,4,GW,-1.17578181544415,0.0921274332564459,Inf,-12.7625591410025,2.65338311318891e-37
genetic gain,2 - 8,2X,WT,2,4,GW,-1.20073193471865,0.0921274332564461,Inf,-13.0333809623925,7.90267350356218e-39
genetic gain,2 - 8,20X,Chr,200,4,GW,-3.69212969389044,0.0921274332564459,Inf,-40.0763330029289,0
genetic gain,2 - 8,2X,Chr,200,4,GW,-3.05020468966566,0.0921274332564454,Inf,-33.1085387039398,2.23952099889656e-240
genetic gain,2 - 8,20X,Peri,200,4,GW,-3.42171086076257,0.0921274332564458,Inf,-37.1410636312628,6.11140131015255e-302
genetic gain,2 - 8,2X,Peri,200,4,GW,-3.00722996286275,0.0921274332564461,Inf,-32.642068237067,1.03840688214696e-233
genetic gain,2 - 8,20X,WT,200,4,GW,-2.66210054050833,0.0921274332564461,Inf,-28.8958505236774,1.34621888237953e-183
genetic gain,2 - 8,2X,WT,200,4,GW,-2.80665541919119,0.092127433256447,Inf,-30.4649258096505,7.59936511583698e-204
