response,contrast,Map_type,Recombination,H2,Repulsion,Matrix,estimate,SE,df,z.ratio,p.value
genetic variance,2 - 200,Peri,20X,8,3,GW,-0.0490174900798918,0.00526981271420885,Inf,-9.30156207406143,1.38397232323576e-20
genetic variance,2 - 200,WT,20X,8,3,GW,-0.0315987827259412,0.00526981271420886,Inf,-5.99618704489104,2.0200433879522e-09
genetic variance,2 - 200,Chr,2X,8,3,GW,-0.0350472597260941,0.00526981271420886,Inf,-6.65057026250612,2.91959581522505e-11
genetic variance,2 - 200,Peri,2X,8,3,GW,-0.0367105639353649,0.00526981271420889,Inf,-6.96619897636646,3.25618528915428e-12
genetic variance,2 - 200,WT,2X,8,3,GW,-0.0314956068775367,0.00526981271420885,Inf,-5.97660838925376,2.27830988408801e-09
genetic variance,2 - 200,Chr,20X,2,4,GW,-0.0307360736310414,0.00526981271420885,Inf,-5.83247931148835,5.46097777252518e-09
genetic variance,2 - 200,Peri,20X,2,4,GW,-0.0149465463340205,0.00526981271420885,Inf,-2.83625759483266,0.00456456139610134
genetic variance,2 - 200,WT,20X,2,4,GW,-0.0133091115465913,0.00526981271420885,Inf,-2.5255378641268,0.0115521332044116
genetic variance,2 - 200,Chr,2X,2,4,GW,-0.0245102036857974,0.00526981271420888,Inf,-4.6510578297614,3.30236699758859e-06
genetic variance,2 - 200,Peri,2X,2,4,GW,-0.0321896807860976,0.00526981271420887,Inf,-6.10831589883741,1.0068791342268e-09
genetic variance,2 - 200,WT,2X,2,4,GW,-0.0206226572663395,0.00526981271420884,Inf,-3.91335677086497,9.10218985916958e-05
genetic variance,2 - 200,Chr,20X,8,4,GW,-0.0597637681239111,0.00526981271420885,Inf,-11.3407764877055,8.24099743937794e-30
genetic variance,2 - 200,Peri,20X,8,4,GW,-0.0420069551865989,0.00526981271420886,Inf,-7.97124252126393,1.57086893246384e-15
genetic variance,2 - 200,WT,20X,8,4,GW,-0.02402972763432,0.00526981271420886,Inf,-4.55988266329263,5.11822109946749e-06
genetic variance,2 - 200,Chr,2X,8,4,GW,-0.0409190552787948,0.00526981271420888,Inf,-7.76480256470324,8.17725028177661e-15
genetic variance,2 - 200,Peri,2X,8,4,GW,-0.031278763484589,0.00526981271420893,Inf,-5.93546017304419,2.93022451712295e-09
genetic variance,2 - 200,WT,2X,8,4,GW,-0.0259475611517673,0.00526981271420885,Inf,-4.92381087506309,8.48748688707983e-07
